tra_0,tra_1,tra_2,tra_3,tra_4,tra_5,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,spec_0,spec_1,spec_2,spec_3,spec_4,spec_5,spec_6,spec_7,spec_8,spec_9,spec_10,spec_11,spec_12,spec_13,spec_14,spec_15,spec_16,spec_17,spec_18,spec_19,spec_20,spec_21,spec_22,spec_23,spec_24,spec_25,spec_26,spec_27,spec_28,spec_29,spec_30,spec_31,spec_32,spec_33,spec_34,spec_35,spec_36,spec_37,spec_38,spec_39,spec_40,spec_41,spec_42,spec_43,spec_44,spec_45,spec_46,spec_47,spec_48,spec_49,spec_50,spec_51,spec_52,spec_53,spec_54,spec_55,spec_56,spec_57,spec_58,spec_59,spec_60,spec_61,spec_62,spec_63,class
1.6472609,0.0,0.49976987,0.0,0.0,1.4298669,1.4130383,0.0,0.6243748,0.00021511316,0.0,0.0,0.0,1.7873254,3.694412,0.0,1.0984526,0.0,0.0,0.0,10.0830345,6.352904,4.201033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.462657,0.0,15.455356,0.0,0.0,0.0,0.0,1.6452636,0.0,7.02323,0.0,0.0,0.0,0.0,0.0,3.8273635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4115458,0.0,0.0,0.0,1.833759,0.0,0.0,0.0,0.0,2.915505,0.18923591,0.0,5.650387,0.0,7.0013475,0.0,0.0,6.914174,3
2.659821,0.10705328,0.1171006,0.0,0.0,3.1758556,1.285649,0.0,1.9727578,0.07620448,0.0,0.0,2.6893644,0.02435553,5.0531206,0.0,2.9012308,0.0,0.0,0.0,7.199717,5.8893065,6.2415433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7283957,0.0,12.856551,0.0,0.3572784,0.0,0.0,2.532031,0.0,6.299471,0.0,0.0,0.0,0.0,0.0,4.211223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8487773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3775578,0.9281851,0.0,4.5213437,0.0,7.8737,0.0,0.0,5.727788,1
1.6472609,0.0,0.49976987,0.0,0.0,1.4298669,0.0007057786,0.2800374,1.100661,0.0008635521,1.0181956,0.0,0.00060111284,1.7874069,2.0841532,0.0,5.3329825,5.7599373,11.140631,7.13117,0.0,0.0,4.705666,11.529239,9.505318,1.0655941,17.157455,7.5927696,0.20349681,8.858481,5.7710276,5.8182406,0.0,4.4315367,8.778551,2.1820424,0.0,8.220598,0.0,9.215733,9.080381,14.355125,9.115603,2.4217246,2.4261537,0.0,5.1729484,7.8164206,8.356924,6.058255,10.364035,0.0,3.3949106,13.449174,5.70159,10.897764,4.737469,6.203465,0.0,5.548939,4.913719,8.843094,6.695512,4.1609654,0.0,6.4670806,10.083756,8.030337,8.321403,3.3521156,0.93710554,7.6308894,0.0,5.519491,0.0,7.920612,15.73612,0.0,1
2.659821,0.10705328,0.1171006,0.0,0.0,3.1758556,1.285649,0.0,1.9727578,0.07620448,0.0,0.0,2.6893644,0.02435553,5.354689,0.0,3.9300106,0.0,0.0,0.0,5.151878,4.880314,7.1283636,0.0,0.0,0.17082195,0.0,0.0,0.092973776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.100748,0.0,1.0929563,0.0,0.0,2.9143155,0.0,5.6976504,0.0,0.0,0.0,0.0,0.0,3.8185813,0.0,0.0,0.0,0.2909025,0.0,0.0,0.0,0.0,3.0933423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.317843,0.9347575,0.0,3.7761538,0.0,7.3056135,0.0,0.0,4.7859745,6
1.6472609,0.0,0.49976987,0.0,0.0,1.4298669,0.0074537992,0.0,0.4869297,1.4204931,1.6942985,0.0,1.9828103,0.08441502,5.0806274,0.0,2.9356866,0.0,0.0,0.0,7.1340165,5.8831716,6.2828164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.651412,0.0,12.79263,0.0,0.39523795,0.0,0.0,2.5498257,0.0,6.2844343,0.0,0.0,0.0,0.0,0.0,4.223748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.876522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.405597,0.9487825,0.0,4.4955883,0.0,7.887575,0.0,0.0,5.6949596,1
1.6472609,0.0,0.49976987,0.0,0.0,1.4298669,0.0074537992,0.0,0.4869297,1.4204931,1.6942985,0.0,1.9828103,0.08441502,3.423989,0.0,6.33263,3.0539825,10.667411,5.5355,0.0,0.0,6.9245048,10.934968,7.6928706,0.9867477,16.830925,4.915211,0.3717431,7.6818953,5.242707,5.256319,0.0,4.1845326,9.134478,1.5668343,0.0,8.543775,0.0,8.996613,9.527433,15.549405,8.77552,2.91146,2.176764,0.0,5.3684087,7.673539,7.5640416,4.2941566,9.808415,0.26228732,2.5562513,11.013166,4.971563,11.787681,3.76711,6.109406,0.0,4.6633396,5.2502294,6.633425,7.3552184,1.6334343,0.0,4.6162214,9.074596,6.4425216,7.110274,3.7330658,1.2729475,5.8547044,0.0,5.0824976,0.0,6.3325233,14.501138,0.0,4
1.6472609,0.0,0.49976987,0.0,0.0,1.4298669,0.8350689,0.0,0.5705001,0.55938864,0.7795298,0.031831928,0.78738844,0.86562043,0.13831113,0.0,3.5544004,8.054434,11.226964,9.020643,0.0,0.0,1.9508252,11.68323,10.977223,0.9987913,17.375803,10.572931,0.08856666,9.44662,5.722392,5.8091455,1.2355798,3.755778,7.4928756,2.2155118,0.0,7.429151,0.0,8.60871,7.929753,13.167312,8.624253,1.8500503,2.3025682,0.0,4.7142525,7.5570316,7.79026,8.130343,10.661342,0.0,4.318971,15.879466,5.901299,9.003211,5.9569845,5.834359,0.0,5.680564,3.623024,11.518422,5.85406,6.610988,0.0,8.47343,10.393804,9.186726,9.532498,2.0046408,0.5799282,9.8661995,0.0,5.2740073,0.0,9.615891,17.201836,0.0,2
1.6472609,0.0,0.49976987,0.0,0.0,1.4298669,0.0074537992,0.0,0.4869297,1.4204931,1.6942985,0.0,1.9828103,0.08441502,5.0823674,0.0,2.936544,0.0,0.0,0.0,7.130602,5.883823,6.284556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6487535,0.0,12.786155,0.0,0.39788517,0.0,0.0,2.550062,0.0,6.285074,0.0,0.0,0.0,0.0,0.0,4.224785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8777459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.407361,0.95076615,0.0,4.4934964,0.0,7.8886013,0.0,0.0,5.688454,2
2.659821,0.10705328,0.1171006,0.0,0.0,3.1758556,1.285649,0.0,1.9727578,0.07620448,0.0,0.0,2.6893644,0.02435553,5.458252,0.0,6.278768,0.0,0.85233665,0.0,0.0,2.1534312,8.649,0.0,0.0,1.3361214,0.50659627,0.0,0.1033869,0.0,0.0,0.0,0.0,0.0,2.5166125,0.0,0.0,1.6175789,4.1989603,1.6487191,3.2668025,5.485845,0.6409155,3.706042,0.58175886,3.6085181,1.0239713,1.115538,1.9677255,0.0,0.0,2.845842,0.0,0.0,0.38529035,4.822979,0.0,1.0363677,0.0,0.0,3.2323196,0.0,1.3200508,0.0,0.0,0.0,0.0,0.0,0.0,3.318492,1.3426383,0.0,0.65770435,0.0,3.9986963,0.0,0.0,1.5641289,5
1.6472609,0.0,0.49976987,0.0,0.0,1.4298669,0.54824936,0.0,0.0,0.0,0.46995673,0.0,2.7762077,1.9180398,4.9311957,0.0,4.140882,0.0,0.0,0.0,5.5081515,5.2943563,5.3056903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5180139,0.0,10.771466,0.0,0.0,0.0,0.0,2.7161312,0.0,5.537724,0.0,0.0,0.1418744,0.0,0.0,3.3275378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6428916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3015966,1.0094744,0.0,3.8653746,0.0,6.2563176,0.0,0.0,4.9999294,3
